Tiempo,Resistencia,Temperatura
0,9948,25.28
30,10026,25.10
60,10184,24.74
90,10508,24.02
120,10927,23.13
150,11276,22.41
180,11636,21.70
210,12009,20.99
240,12297,20.45
270,12346,20.36
300,12744,19.65
330,12948,19.30
360,13156,18.94
390,13262,18.76
420,13530,18.32
450,13584,18.23
480,13859,17.79
510,14256,17.16
540,13530,18.32
570,13971,17.61
600,14028,17.52
630,14256,17.16
660,14028,17.52
690,14256,17.16
720,14314,17.07
750,14372,16.98
780,14430,16.89
810,14372,16.98
840,14372,16.98
871,14489,16.81
901,14548,16.72
931,14666,16.54
961,14907,16.18
991,14726,16.45
1021,14847,16.27
1051,14726,16.45
1081,14786,16.36
1111,14847,16.27
1141,14968,16.09
1171,14907,16.18
1201,14847,16.27
1231,14968,16.09
1261,15403,15.46
1291,15029,16.00
1321,15091,15.91
1351,15029,16.00
1381,15215,15.73
1411,15153,15.82
1441,15153,15.82
1471,15340,15.55
1501,15215,15.73
1531,15277,15.64
1561,15403,15.46
1591,15277,15.64
1621,15403,15.46
1651,15340,15.55
1682,15594,15.19
1712,15467,15.37
1742,15530,15.28
1772,15594,15.19
1802,15594,15.19
1832,15594,15.19
1862,15594,15.19
1892,15594,15.19
1922,15659,15.10
1952,15919,14.75
1982,15659,15.10
2012,15659,15.10
2042,15723,15.02
2072,15919,14.75
2102,15985,14.66
2132,15919,14.75
2162,15919,14.75
2192,15985,14.66
2222,16118,14.48
2252,16052,14.56
2282,15985,14.66
2312,15985,14.66
2342,16052,14.56
2372,16052,14.56
2402,16389,14.11
2432,16185,14.39
2462,16118,14.48
2493,16185,14.39
2523,16118,14.48
2553,16052,14.56
2583,16321,14.20
2613,16389,14.11
2643,16253,14.29
2673,16253,14.29
2703,16457,14.02
2733,16457,14.02
2763,16526,13.93
2793,16389,14.11
2823,16595,13.84
2853,16526,13.93
2883,16526,13.93
2913,16946,13.39
2943,16253,14.29
2973,16665,13.75
3003,16526,13.93
3033,16734,13.66
3063,16665,13.75
3093,16875,13.48
3123,17018,13.30
3153,16875,13.48
3183,16875,13.48
3213,17018,13.30
3243,17089,13.21
3273,17018,13.30
3304,17089,13.21
3334,17234,13.03
3364,17089,13.21
3394,17162,13.12
3424,17162,13.12
3454,17089,13.21
3484,17234,13.03
3514,17234,13.03
3544,17307,12.94
3574,17234,13.03
3604,17307,12.94
3634,17234,13.03
3664,17307,12.94
3694,17380,12.85
3724,17162,13.12
3754,17981,12.12
3784,17162,13.12
3814,17307,12.94
3844,17603,12.57
3874,17603,12.57
3904,17528,12.66
3934,17454,12.75
3964,17162,13.12
3994,17603,12.57
4024,17454,12.75
4054,17603,12.57
4084,17603,12.57
4115,17603,12.57
4145,17603,12.57
4175,17753,12.39
4205,17678,12.48
4235,17753,12.39
4265,17981,12.12
4295,17829,12.30
4325,17380,12.85
4355,17678,12.48
4385,17829,12.30
4415,17829,12.30
4445,17829,12.30
4475,17905,12.21
4505,17905,12.21
4535,18058,12.02
4565,17905,12.21
4595,17981,12.12
4625,17981,12.12
4655,17678,12.48
4685,18058,12.02
4715,18136,11.93
4745,18214,11.84
4775,18136,11.93
4805,18136,11.93
4835,18292,11.75
4865,18136,11.93
4895,18609,11.38
4925,18292,11.75
4956,18214,11.84
4986,18450,11.57
5016,18371,11.66
5046,18450,11.57
5076,18214,11.84
5106,18292,11.75
5136,18371,11.66
5166,18292,11.75
5196,18292,11.75
5226,18450,11.57
5256,18450,11.57
5286,18609,11.38
5316,18371,11.66
5346,18450,11.57
5376,18529,11.47
5406,18371,11.66
5436,18529,11.47
5466,18771,11.20
5496,18292,11.75
5526,18609,11.38
5556,18771,11.20
5586,18609,11.38
5616,18852,11.11
5646,18852,11.11
5676,18292,11.75
5706,18771,11.20
5736,18934,11.01
5767,18852,11.11
5797,18609,11.38
5827,18934,11.01
5857,18852,11.11
5887,19017,10.92
5917,18852,11.11
5947,18852,11.11
5977,18934,11.01
6007,19017,10.92
6037,18852,11.11
6067,18934,11.01
6097,18934,11.01
6127,19099,10.83
6157,19017,10.92
6187,19183,10.74
6217,19099,10.83
6247,19183,10.74
6277,19099,10.83
6307,18690,11.29
6337,19183,10.74
6367,19351,10.55
6397,19099,10.83
6427,19351,10.55
6457,19266,10.64
6487,19266,10.64
6517,19351,10.55
6547,19183,10.74
6578,19606,10.27
6608,19867,9.99
6638,19183,10.74
6668,18690,11.29
6698,19436,10.46
6728,19436,10.46
6758,19521,10.36
6788,19780,10.09
6818,19436,10.46
6848,19436,10.46
6878,19693,10.18
6908,19521,10.36
6938,19606,10.27
6968,19606,10.27
6998,19436,10.46
7028,19693,10.18
7058,19521,10.36
7088,19606,10.27
7118,19693,10.18
7148,19606,10.27
7178,19521,10.36
7208,19436,10.46
7238,19693,10.18
7268,19780,10.09
7298,19693,10.18
7328,19867,9.99
7358,19780,10.09
7389,19780,10.09
7419,19955,9.90
7449,19867,9.99
7479,19867,9.99
7509,19867,9.99
7539,19780,10.09
7569,19780,10.09
7599,19867,9.99
7629,19606,10.27
7659,19955,9.90
7689,20043,9.81
7719,20043,9.81
7749,19955,9.90
7779,19183,10.74
7809,20043,9.81
7839,20043,9.81
7869,20311,9.53
7899,19955,9.90
7929,20043,9.81
7959,20043,9.81
7989,20221,9.62
8019,20043,9.81
8049,20221,9.62
8079,20221,9.62
8109,20132,9.71
8139,20769,9.06
8169,20132,9.71
8199,19955,9.90
8230,20132,9.71
8260,20221,9.62
8290,20311,9.53
8320,20401,9.43
8350,20492,9.34
8380,20221,9.62
8410,20676,9.15
8440,20132,9.71
8470,20401,9.43
8500,20132,9.71
8530,20492,9.34
8560,20401,9.43
8590,20221,9.62
8620,20492,9.34
8650,20221,9.62
8680,20311,9.53
8710,20401,9.43
8740,20311,9.53
8770,20311,9.53
8800,20769,9.06
8830,20584,9.24
8860,20676,9.15
8890,20492,9.34
8920,20584,9.24
8950,20676,9.15
8980,20676,9.15
9010,20584,9.24
9040,20584,9.24
9070,20311,9.53
9101,20769,9.06
9131,20676,9.15
9161,20676,9.15
9191,20769,9.06
9221,20769,9.06
9251,20769,9.06
9281,20769,9.06
9311,20676,9.15
9341,20862,8.96
9371,21050,8.77
9401,20862,8.96
9431,20955,8.87
9461,20862,8.96
9491,20769,9.06
9521,20769,9.06
9551,20769,9.06
9581,20955,8.87
9611,20492,9.34
9641,21050,8.77
9671,21050,8.77
9701,20955,8.87
9731,20769,9.06
9761,20955,8.87
9791,20862,8.96
9821,20862,8.96
9851,20955,8.87
9881,21050,8.77
9911,20955,8.87
9942,20862,8.96
9972,20955,8.87
10002,20492,9.34
10032,20955,8.87
10062,21145,8.68
10092,21050,8.77
10122,20955,8.87
10152,21145,8.68
10182,21050,8.77
10212,20769,9.06
10242,21050,8.77
10272,21050,8.77
10302,21240,8.58
10332,21336,8.49
10362,21240,8.58
10392,21433,8.39
10422,21336,8.49
10452,21336,8.49
10482,21240,8.58
10512,21336,8.49
10542,21433,8.39
10572,21240,8.58
10602,21336,8.49
10632,21240,8.58
10662,20769,9.06
10692,21240,8.58
10722,21336,8.49
10753,21433,8.39
10783,21925,7.92
10813,21336,8.49
10843,21433,8.39
10873,21433,8.39
10903,21240,8.58
10933,21628,8.20
10963,21628,8.20
10993,20955,8.87
11023,21628,8.20
11053,21727,8.11
11083,21628,8.20
11113,21530,8.30
11143,21336,8.49
11173,21628,8.20
11203,21628,8.20
11233,21628,8.20
11263,21727,8.11
11293,21628,8.20
11323,21628,8.20
11353,21628,8.20
11383,21727,8.11
11413,21336,8.49
11443,21727,8.11
11473,21530,8.30
11503,21727,8.11
11533,21727,8.11
11563,21925,7.92
11594,21628,8.20
11624,21727,8.11
11654,21628,8.20
11684,21727,8.11
11714,21826,8.01
11744,21826,8.01
11774,21727,8.11
11804,21826,8.01
11834,21433,8.39
11864,21727,8.11
11894,21925,7.92
11924,21727,8.11
11954,21727,8.11
11984,21727,8.11
12014,21530,8.30
12044,21727,8.11
12074,21826,8.01
12104,22026,7.82
12134,21826,8.01
12164,21628,8.20
12194,21826,8.01
12224,22026,7.82
12254,21826,8.01
12284,21240,8.58
12314,21925,7.92
12344,21530,8.30
12374,21628,8.20
12405,22026,7.82
12435,21925,7.92
12465,21925,7.92
12495,22026,7.82
12525,22127,7.73
12555,21925,7.92
12585,22331,7.54
12615,21925,7.92
12645,21925,7.92
12675,21925,7.92
12705,22026,7.82
12735,22026,7.82
12765,22127,7.73
12795,22127,7.73
12825,22127,7.73
12855,21925,7.92
12885,22026,7.82
12915,21925,7.92
12945,22127,7.73
12975,21925,7.92
13005,22127,7.73
13035,22026,7.82
13065,21826,8.01
13095,22537,7.34
13125,22026,7.82
13155,22434,7.44
13185,21628,8.20
13216,22228,7.63
13246,22228,7.63
13276,21925,7.92
13306,22026,7.82
13336,22228,7.63
13366,22026,7.82
13396,22026,7.82
13426,22127,7.73
13456,22228,7.63
13486,21826,8.01
13516,22026,7.82
13546,21530,8.30
13576,22127,7.73
13606,22127,7.73
13636,22228,7.63
13666,21826,8.01
13696,22331,7.54
13726,21925,7.92
13756,22228,7.63
13786,22228,7.63
13816,22228,7.63
13846,22228,7.63
13876,22228,7.63
13906,22331,7.54
13936,22331,7.54
13966,22434,7.44
13996,22228,7.63
14027,22127,7.73
14057,22331,7.54
14087,22127,7.73
14117,21727,8.11
14147,22331,7.54
14177,22434,7.44
14207,22331,7.54
14237,22434,7.44
14267,22434,7.44
14297,22537,7.34
14327,22331,7.54
14357,22642,7.25
14387,21925,7.92
14417,22331,7.54
14447,22434,7.44
14477,22331,7.54
14507,21826,8.01
14537,22434,7.44
14567,22434,7.44
14597,22127,7.73
14627,22434,7.44
14657,22434,7.44
14687,22331,7.54
14717,22331,7.54
14747,22747,7.15
14777,22434,7.44
14807,22537,7.34
14837,22434,7.44
14868,22434,7.44
14898,22434,7.44
14928,22331,7.54
14958,22331,7.54
14988,22434,7.44
15018,22331,7.54
15048,22434,7.44
15078,22228,7.63
15108,22434,7.44
15138,22434,7.44
15168,22127,7.73
15198,22331,7.54
15228,22434,7.44
15258,22537,7.34
15288,22434,7.44
15318,22537,7.34
15348,22434,7.44
15378,22434,7.44
15408,22434,7.44
15438,22537,7.34
15468,22228,7.63
15498,22642,7.25
15528,22434,7.44
15558,22642,7.25
15588,22331,7.54
15618,22537,7.34
15648,22331,7.54
15679,22642,7.25
15709,22537,7.34
15739,22747,7.15
15769,22958,6.96
15799,23391,6.57
15829,22642,7.25
15859,22747,7.15
15889,22958,6.96
15919,22642,7.25
15949,22852,7.06
15979,22537,7.34
16009,22747,7.15
16039,22642,7.25
16069,22642,7.25
16099,22434,7.44
